,title,author,publisher,publistDate,ISBN,pages,genre,description,book_img_url,stock,totalQuantity
31,총 균 쇠,재레드 다이아몬드,김영사,2023년 05월 10일,9788934942467,784,인문,"문명의 생성과 번영의 수수께끼를 밝힌 세계적 명저마침내 만나는 출간 25년 기념 뉴에디션!학문의 경계를 넘나드는 세계적 석학 재레드 다이아몬드. 인류 문명에 대한 예리한 통찰을 전해온 그의 대표작이자 1998년 퓰리처상 수상작 《총, 균, 쇠》를 새 번역, 새 편집으로 만난다. 왜 어떤 국가는 부유하고 어떤 국가는 가난한가? 왜 어떤 민족은 다른 민족의 정복과 지배의 대상이 되었는가? 생물학, 지리학, 인류학, 역사학 등 다양한 학문의 융합을 통해 장대한 인류사를 풀어내며 오늘날 현대 세계가 불평등한 원인을 종합 규명한 혁신적 저작. 출간 25년 기념 뉴에디션에는 2023년 저자 특별서문과 서울대 인류학과 박한선 교수의 해제, 새 서문과 후기를 수록해 풍성한 읽을거리를 더했다.                                 ",118755085.jpg,0,0
32,ETS 토익 정기시험 기출문제집 1000 Vol.3 READING 리딩,ETS,YBM(와이비엠),2021년 12월 13일,9788917238549,540,국어 외국어 사...,"토익은 기출이 답이다! 기출문제 한국 독점출간!
정기시험 기출문제와 성우음성으로 목표점수 적중

실제 기출문제 전격 공개!

이 책에는 정기시험 기출문제 7세트와 ETS 토익 예상문제 3세트가 수록되어 있다. 시험에 나온 토익 문제로 실전 감각을 키우고, 동일한 난이도의 예상문제로 시험에 확실하게 대비하자! ETS 예상문제도 실제 시험과 동일한 문항 유형 및 난이도 등 기출과 싱크로율 100% 스펙을 특징으로 한다.



                                                ",105384881.jpg,0,0
34,부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키,민음인,2018년 02월 22일,9791158883591,446,경제 경영,"전 세계에서 가장 많이 팔린 경제경영서‘부자 아빠 가난한 아빠’ 20주년 기념 업그레이드 에디션 출간!- 세계 금융 변화에 맞춘 41개의 NEW 코멘트- 토론과 실천을 위한 10가지 스터디세션 등 500매 분량의 내용 추가1997년 미국에서 처음 출간된 이래 전 세계 51가지 언어로 109개국에서 출판되어 4000만 부(국내 350만 부)가 판매된 경제경영 재테크 분야 최고의 밀리언셀러 ‘부자 아빠 가난한 아빠’ 시리즈. 20년의 세월을 통해 검증된 부자들의 돈과 투자에 대한 지침들과 오늘날의 시대상에 맞춘 새로운 정보들이 추가된 『부자 아빠 가난한 아빠 20주년 특별 기념판』이 ㈜민음인에서 출간되었다. 지난 20년간 독자들에게 가장 많은 사랑을 받아 온 『부자 아빠 가난한 아빠 1』의 내용에 세계 금융 변화에 맞춘 41개의 ‘20년 전 그리고 오늘’과 토론과 실천을 위한 10가지 ‘스터디세션’ 등 원고지 500매 분량이 추가된 업그레이드 에디션이다. 돈에 대한 선입관을 깨뜨리는 파격적인 내용과 세월이 흘러도 변치 않는 투자의 원칙들은, 비트코인 광풍, 부동산 경매 시장의 활기 등 다양한 양상의 투자에 대한 관심이 높아지고 있는 오늘날에도 여전히 ‘돈’과 ‘투자’의 흔들리지 않는 기준이 되어 줄 것이다.무엇보다 이 책이 독자들에게 파고든 이유는 돈에 대한 일반적인 상식을 뒤집었기 때문이다. 저자는 사람들이 가난한 이유는 돈이 없어서가 아니라, 돈을 금기시하며 금융 지식을 멀리하는 사고와 문화 때문이라고 말한다. 저자의 가난한 아버지는 공부를 많이 했지만, 늘 카드대금 청구서와 주택융자금에 시달렸다.(“돈을 좋아하는 것은 모든 악의 근원이다. 공부 열심히 해서 좋은 직장을 구해야지. 위험을 피하고 안정적으로 살아라.”) 반면 친구의 부자 아버지는 정규 교육은 제대로 받지 못했지만 금융 IQ를 터득하여 막대한 부를 쌓았다.(“돈이 부족한 것은 모든 악의 근원이다. 공부 열심히 해서 좋은 회사를 차려라. 네가 똑똑한 사람을 고용해야 한다. 무엇보다 위험을 관리하는 법을 배워야 한다.”) 이 책에서는 저자가 유년 시절 겪은 두 아버지를 통해 가난한 사람과 부자의 사고방식을 비교한다. 직설적인 화법과 몰입도 있는 스토리텔링으로 경제에 대한 기초 상식은 물론, 자산과 부채의 개념과 성공적인 투자를 위한 금융 IQ를 기르는 비법 등을 누구나 이해할 수 있도록 쉽고 명쾌하게 전한다.                                ",58774995.jpg,0,0
35,키위엔 영어회화 하루 5분의 기적,박강준,키위엔,2022년 12월 05일,9791198002907,300,국어 외국어 사...,"‘더 이상 어려운 문법과 단어를 외우지 않아도 영어가 되게 해주는 책!’


영어는 스피킹, 리스닝, 라이팅 이 세 가지가 모두 되어야 합니다. 그리고 이 세 가지가 되기 위해서는 문장화 능력을 키우는 것이 가장 선행되어야 하죠. 영어로 말을 하려고 해도 문장으로 해야 하고 리스닝을 하려 해도 상대방이 말하는 문장을 들을 수 있어야 하며 글을 쓸 때도 문장으로 써야 하기 때문입니다. 『키위엔 영어회화 하루 5분의 기적』은 영어의 어순과 문장의 구조를 쉽게 이해시켜 드리며, 그로 인해 더 이상 문장을 통째로 외우지 않더라도 스스로 원하는 문장을 만들어 자유롭게 말할 수 있게 해 드립니다. 이 책의 마지막 페이지를 넘겼을 때 여러분의 영어가 어느새 중급이 되어 있는 놀라운 경험을 해 보시길 바랍니다.



                                                ",115475489.jpg,0,0
36,타이탄의 도구들 (블랙 에디션),팀 페리스,토네이도,2022년 06월 22일,9791158510619,367,자기계발,"자청, 월급쟁이부자들TV, 면접왕 이형, 클래씨TV, 단희TV ...
셀럽, CEO 등 수백만 독자가 사랑한 자기계발 최장기 스테디셀러

“세계 최고들은 1등이 아니다.
그들은 1등과 싸워 이긴 사람들이다!”
 전 세계 밀리언셀러 《타이탄의 도구들》 리커버 ‘블랙 에디션’ 출간!
알랭 드 보통, 세스 고딘, 말콤 글래드웰, 파울로 코엘료, 피터 틸, 에드 캣멀…
폭발적인 아이디어, 디테일한 목표, 강력한 실천으로
인생에서 가장 큰 터닝 포인트를 만들어낸 사람들

2017년 출간 즉시 아마존과 [뉴욕 타임스] 베스트셀러 차트 1위를 동시에 석권하며, 국내 독자들에게도 큰 사랑을 받은 《타이탄의 도구들》이 6년 연속 최고의 베스트셀러를 기념한 리커버 블랙 에디션으로 다시 우리를 찾아왔다. 출간 전부터 전 세계 독자들의 뜨거운 지지와 관심을 받았던 이 책에는 알랭 드 보통, 세스 고딘, 말콤 글래드웰, 파울로 코엘료, 피터 틸, 에드 캣멀 등등 이 시대 가장 성공한 인물들의 생생한 목소리가 담겨 있다. 세계적인 석학과 작가부터 최고의 혁신기업을 세운 창업가와 CEO, 크리에이티브 디렉터, 협상가, 슈퍼리치, 아티스트, 전문직 종사자까지 자기 분야에서 정상에 오른 사람들의 독창적인 성공 노하우가 낱낱이 담겨 있다.

이 책의 저자 팀 페리스는 지난 3년간 자신의 팟캐스트 방송의 수백만 청취자와 함께 뽑은 ‘세상에서 가장 성공한 사람 200명’을 직접 만나, 그들의 삶을 집중 추적했다. 그들과 벌였던 심층 인터뷰와 열띤 토론, 그리고 그들이 직접 공개한 성공 비결들을 자신의 일상에 직접 적용해 탁월한 성과를 창출했던 경험을 망라해 이 한 권의 책에 담았다. 반응은 폭발적이었다. 그의 팟캐스트 방송은 아이튠스 비즈니스 분야 최초로 다운로드 수 1억 회를 돌파했고, 2016년 12월에 출간된 이 책은 3개월 만에 약 50만 부가 팔리는 대형 베스트셀러 반열에 올랐다. 

‘폭발적인 아이디어, 창조적인 습관과 디테일한 전략, 강력한 실행력’을 갖춘 그들을 팀 페리스는 거인이라는 뜻의 ‘타이탄(titan)’이라 명명했고, 이 책에 담긴 그들의 압도적인 성공은 우리가 어떤 목표에 어떤 방법으로 접근해야 할지에 대한 가장 지혜로운 길라잡이가 되어준다. 따라서 이 책의 독자들은 자기 삶의 가장 큰 터닝포인트와 혁신을 만들어낼 수 있는 놀라운 계획들을 만나게 될 것이다. 자신의 가장 큰 가능성을 통해 또 한 명의 ‘타이탄’으로 성장할 수 있는 기회와 힘을 선물받게 될 것이다.

                                                ",37533966.jpg,0,0
37,데일 카네기 자기관리론,데일 카네기,현대지성,2021년 01월 13일,9791191280333,424,자기계발,"『인간관계론』과 짝을 이루는 데일 카네기 최고의 역작걱정이 내 인생을 망치기 전에 반드시 읽어야 할 책!워런 버핏이 직접 적용한, 걱정 없는 인생의 핵심 원리 세계 최초의 ‘걱정 극복 실험실’에서 탄생한 마법의 공식 수록!현대지성에서는 출간 즉시 베스트셀러가 된 『데일 카네기 인간관계론』에 이어 저자의 또 다른 역작 『데일 카네기 자기관리론』을 펴냈다. 이 책은 국내에서 유일하게 1948년 초판의 10부까지 고스란히 담은 ‘오리지널’ 초판 완역본이다. 벼락을 맞아도 끄떡없고, 숱한 폭풍우를 꿋꿋이 견뎌낸 아름드리 고목이 사람의 손가락 마디만 한 딱정벌레의 공격을 받아 맥없이 쓰러진다. 사자도 함부로 덤비지 못할 만큼 전투력이 강한 코끼리가 꿀벌의 가느다란 침에 속수무책으로 당한다. 우리 인생도 다르지 않다. “개미구멍 하나가 큰 제방 둑을 무너뜨린다”라는 속담처럼 사소한 걱정에 쉽게 마음을 내주어 인생을 망치는 사람이 수두룩하다. 걱정은 내일의 슬픔을 덜어주지 않고 도리어 오늘 살아갈 힘을 앗아가기에, 걱정이 인생을 좀먹도록 내버려둔다면 언젠가 큰 대가를 치르게 된다.베스트셀러 『인간관계론』 저자인 데일 카네기는 성인들에게 화술과 인간관계를 가르치는 동안 ‘걱정’이 모든 인생 문제의 주원인이자 자기관리의 핵심 요소임을 깨달았다. 그래서 ‘걱정을 멈추고 새로운 인생을 사는 법’을 교육하기로 마음먹었다. 하지만 문제가 생겼다. 교과서로 삼기에 적합한 책을 찾을 수 없었던 것이다. 결국 직접 쓸 수밖에 없었다. 이것이 또 한 권의 세계적인 베스트셀러가 탄생하게 된 배경이다.  그는 동서고금의 온갖 자료를 샅샅이 훑으면서 각 분야의 전문가에게 조언을 들었다. 뿐만 아니라 170여 개 도시에서 열린 강좌를 ‘걱정 극복 실험실’로 삼아 수많은 사례를 수집하고 분석한 끝에 ‘마법의 공식’을 도출했다. 준비 기간 포함 7년에 걸쳐 집필한 이 책에는 걱정을 떨쳐내게 해줄 모든 지혜가 간결하고도 명확하게 담겨 있다. 또한 각계각층의 명사들 및 평범한 이웃들의 생생한 사례와 함께 당장 적용할 수 있는 구체적인 해결책을 제시했다. 모두 그가 활동하던 20세기 초부터 한 세기에 걸쳐 효과가 입증된 방법들이다. 걱정 없이 살게 해줄 가장 적실하고 효과적인 실행법을 수록한 이 책은 카네기의 또 다른 역작 『인간관계론』과 함께 자기계발서의 원전(原典)으로 손꼽힌다. 지금의 나를 넘어 보다 행복한 인생을 꿈꾼다면, 핵심을 콕콕 집어 전달하면서 무기력한 일상을 깨우고 변화의 길로 이끄는 카네기의 조언에 귀를 기울여보자. “나는 데일 카네기에게 인생에서 가장 중요한 것을 배웠다.” _워런 버핏                                ",96794060.jpg,0,0
39,사피엔스,유발 하라리,김영사,2015년 11월 23일,9788934972464,636,인문,"출간 10주년·200쇄·115만부 기념유발 하라리 특별 서문 수록“인공지능의 시대, 우리가 알아야 할 것은 코딩보다 인간의 마음.”인간의 역사와 미래에 대한 가장 논쟁적이고 대담한 대서사문명의 배를 타고 진화의 바다를 항해한 인류는 이제 어디로 나아갈 것인가!“당신은 이 책을 사랑할 수밖에 없다.” (제레드 다이아몬드)‘천재 사상가’(뉴욕타임스) 유발 하라리의 대표작 『사피엔스』. 이제 불황이라는 수식어가 전혀 어색하지 않은 국내 출판시장에서도 『사피엔스』는 인문교양 분야의 트렌드를 주도하며 2023년 1월 기준 ‘200쇄 발행·115만부 판매’라는 놀라운 기록을 거두고 있다. 인류 역사와 미래를 종횡무진 가로지르는 『사피엔스』의 통찰은 불확실하고 복잡한 세계를 이해하고 대비하는 데 반드시 필요하다. 책 서두에는 2011년 원서 출간 이후 10년을 돌아보고 위기 상황을 맞은 인류에게 건네는 제언이 특별 서문으로 수록되었다. 현재 인류는 그 어느 때보다 어려운 상황을 맞고 있다. 난국을 헤쳐나가기 위해 무엇을 해야 할까? 저자는 더 나은 세상을 위한 키워드로 ‘인간 이해’를 강조한다. 출간 10주년 서문이지만 글로벌 베스트셀러를 출간한 개인적인 소회보다는 유례없는 난관을 헤쳐나가기 위해 동료 사피엔스에게 전하는 호소가 담겨 있다.                                ",23030284.jpg,0,0
40,ETS 토익 정기시험 기출문제집 1000 Vol.3 LISTENING 리스닝,ETS,YBM(와이비엠),2021년 12월 13일,9788917238532,456,국어 외국어 사...,"토익은 기출이 답이다! 기출문제 한국 독점출간!
정기시험 기출문제와 성우음성으로 목표점수 적중

실제 기출문제 전격 공개!

이 책에는 정기시험 기출문제 7세트와 ETS 예상문제 3세트가 수록되어 있다. 시험에 나온 토익 문제로 실전 감각을 키우고, 동일한 난이도의 예상문제로 시험에 확실하게 대비하자! ETS 예상문제도 실제 시험과 동일한 성우, 문항 유형 및 난이도 등 기출문제와 싱크로율 100% 스펙을 특징으로 한다.



                                                ",105384874.jpg,0,0
41,5번 레인,은소홀,문학동네,2020년 09월 14일,9788954674638,240,어린이,"★제21회 문학동네어린이문학상 대상 수상작
★제61회 한국출판문화상 수상작

★2020 〈시사IN〉이 선정한 올해의 책
★2020 한국문화예술위원회 문학나눔도서
★2020 『창비어린이』 현장에서 뽑은 올해의 책
★2021 광주광역시 동구청 올해의 책 / 2021 광양시 올해의 책 / 2021 원주시 추천도서 / 2021 평택시 함께 읽는 책 / 2021 아침독서 추천도서 

“어떤 작품은 읽은 다음에야 내가 이런 것을 읽고 싶어 했구나, 깨닫게 된다. 
나는 여자 어린이의 운동 이야기, 신중하고 섬세한 연애 이야기, 어린 시절의 한 부분을 멋지게 완성하는 이야기를 읽고 싶었던 모양이다. 
이 책을 읽고 나와 친구들은 마치 경기장의 관중처럼 들떠서 연락을 주고받았다. 우리 동화는 여기까지 왔다.“ 
_김소영(『어린이라는 세계』 저자)

“어떤 이야기는 이야기 속 풍경으로 우리를 잡아끈다. 『5번 레인』은 물속으로 뛰어들어 온몸을 움직이고 싶게 한다. 이것은 수영에 관한 이야기지만 모든 것에 대한 이야기이기도 하다.” _문학동네어린이문학상 심사평에서

심사위원들의 환호를 불러일으킨 작품!
유례없이 강력한 지지로 문학동네어린이문학상 대상 수상
열세 살 수영부 아이들의 꿈과 사랑을 그린 『5번 레인』

제21회 문학동네어린이문학상 심사 당일, 일곱 명의 심사위원이 모인 자리는 시작부터 활기를 띠고 있었다. 예심에서부터 빼어난 작품들이 상당해 그 어느 때보다 즐거운 심사였다는 것이 모두의 공통된 의견이었다. 심사위원들은 동화로서의 강점을 또렷하게 지닌 두 작품을 두고 긴 시간 논의한 끝에, “우리 아동 서사에 새로운 물꼬를 터 줄 것”이라는 부푼 기대감으로 이례적인 공동 대상을 결정했다. 그중 한 작품이 먼저 모습을 드러낸다. 은소홀 작가의 『5번 레인』이다.

열세 살 수영부 아이들의 고락을 그린 『5번 레인』은 우리 아동청소년문학에서 드문 스포츠물이라는 점, 그 수영이라는 소재로 ‘몸과 마음의 성장’이라는 주제 의식을 훌륭하게 구현했다는 점에서 높이 평가받았다. 자신의 미래를 진지하게 고민하고, 스스로 선택한 길을 향해 힘차게 나아가는 아이들의 건강한 모습은 심사위원 전원이 특히 한목소리로 찬사를 보낸 지점이었다. 청소년으로의 길목에 있는 초등학교 6학년은 많은 변화가 일어나는 시기이며 동시에 변화해야만 하는 시기이기도 하다. 내일에 대한 고민이 부쩍 깊어진 아이들에게 길잡이 동화가 탄생한 것이다.

수영에 대한 자신감과 야망을 숨기지 않고 제 마음속 어둠까지도 독자에게 가감 없이 내비치는 주인공 나루는 전에 없이 입체적인 인물상이다. 이처럼 당당하고 주체적인 여성 아동을 만나 볼 수 있게 한다는 데서 이 작품의 의의와 성취를 또 한 번 발견할 수 있다. 초등학교 고학년 아이들의 연애를 진지한 시선으로 균형감 있게 다루는 작가의 솜씨 또한 탁월하다. 아무도 없는 학교 수영장의 투명한 물이나 무더운 날 갑자기 쏟아지는 소나기처럼 맑게 그려진 첫사랑의 순간들은 읽는 이마저 설레게 한다. 

“초등학생 시절 반드시 경험했으면 하는 멋진 이야기들의 종합 선물 세트”라는 심사평은 그러므로 적확하다. 열세 살 아이들의 고민과 선택, 좌절과 성장, 그리고 우정과 사랑이 고루 담긴 이 반짝이는 물빛을 띤 동화는 수많은 독자를 매료시킬 준비가 되어 있다.


                                                ",92578889.jpg,0,0
42,불편한 편의점 2,김호연,나무옆의자,2022년 08월 10일,9791161571379,320,소설/시/희곡,"재방문을 환영합니다 여기는 청파동 ALWAYS편의점입니다출간 후 1년이 넘도록 독자의 사랑을 받으며 베스트셀러 상위권을 지키고 있는 소설, 김호연 작가의 『불편한 편의점』이 그 두 번째 이야기로 다시 찾아왔다. 청파동 골목의 작은 편의점을 무대로 힘겨운 시대를 살아가는 우리 이웃들의 삶을 따뜻하고 유쾌하게 그린 『불편한 편의점』은 2022년 상반기 교보문고, 영풍문고, 예스24에서 집계한 종합 베스트셀러 1위와 70만 부 판매라는 대기록을 세웠다. 2021년 예스24 ‘올해의 책’에 선정되었고, 2022년에는 전국 25개 지자체에서 시민들이 참여해 뽑은 ‘올해의 책’으로 잇따라 선정되는 등 소설에 대한 관심과 열기는 지금 이 순간에도 계속되고 있다.서울역 노숙인이 편의점의 야간 알바로 일하면서 시작되는 1편의 이야기는 예측불허의 웃음과 따스한 온기로 잔잔한 감동을 선사했다. 『불편한 편의점 2』는 전편의 위트와 속 깊은 시선을 이어가며 더욱 진득한 이야기로 독자를 끌어당긴다. 소설은 1편의 시간으로부터 1년 반이 흐른 여름날의 편의점을 스케치하며 시작된다. 그동안 세상도 달라지고 청파동의 ALWAYS편의점도 이모저모 바뀌었다. 숨이 턱턱 막히는 더위에도 마스크를 써야 하는 도입부의 묘사는 소설 속 현실에도 코로나가 있음을 짐작게 한다. 아들과의 불화로 답답해하던 선숙은 점장이 되었고, 편의점을 팔자고 조르던 염 여사의 말썽꾼 아들 민식은 사장이 되어 있다. 말이 사장이지, 민식은 경영에는 관심이 없고 수익 운운하며 주휴수당 같은 비용 줄이기에만 열을 올리니, 여러모로 ‘진짜로 불편해진’ 편의점이 아닐 수 없는데……. 그러던 중 독고의 후임으로 밤 시간을 책임지던 곽 씨가 그만두고 새 야간 알바를 구하면서 편의점은 다시 한 번 변화를 맞이한다.  새로 온 알바는 커다란 덩치와 부담스러운 행동이 누군가를 연상시키는 40대 사내. 그는 인간 알바몬이라도 되는 양 화려한 알바 경력을 자랑하지만 정작 편의점 일은 어수룩하기만 하다. 게다가 수다쟁이에 오지랖은 못 말릴 지경이어서 점장 선숙에게 핀잔을 뜯기 일쑤다. 그러거나 말거나 그는 황근배라는 이름 대신 홍금보라는 별명이 적힌 명찰을 가슴에 달고 마냥 느긋하게 손님들을 맞으며 편의점의 밤을 지켜 나간다.                                 ",111088149.jpg,0,0
43,내면소통,김주환,인플루엔셜,2023년 02월 27일,9791168340855,763,인문,"★ 43주 연속 베스트셀러 ★ 유튜브 강연 누적 조회 수 3,600만 뷰 돌파  “나와 세상을 바꾸는 힘은 불굴의 의지가 아니라 실패를 두려워하지 않는 마음근력에서 나온다.”《회복탄력성》 김주환 교수가 최신 뇌과학과 명상으로 안내하는  모든 두려움으로부터 완전히 자유로워지는 법 ★ 최재천, 권오현, 채정호, 김봉진, 김대식, 김미경, 장동선, 최재붕    한국 최고의 학계?경영계 리더 8인의 강력 추천!마음에도 근육이 있다. 몸의 근력처럼 마음근력도 체계적이고 반복적으로 훈련하면 강해진다. 베스트셀러 《회복탄력성》 출간 후 한층 더 깊이 마음근력 연구에 집중해온 김주환 교수는 신간 《내면소통》을 통해 마음근력을 키우는 가장 효과적인 방법을 밝혔다. ‘내면소통’이 마음근력의 기초이며, 올바른 내면소통을 위한 최선의 방법은 명상이라는 것. 그는 ‘내면소통 명상’의 효능을 입증하기 위해 국내 유수의 뇌과학자, 정신건강의학 전문의들과 공동 연구를 진행하는 한편 그 연구 결과를 현장에서 직접 검증했다. 현재는 정신건강의학과 의사들을 대상으로 내면소통 명상법을 강연하는 한편, 각계각층의 리더와 명상 강사들에게 명상 훈련을 전수하고 있다. 수년에 걸친 집필을 마무리한 2022년 11월, 처음으로 일반인에게 공개된 저자의 명상 강연은 1년여 만에 유튜브에서 누적조회 수 3,600만 뷰를 넘기며 수많은 이의 삶을 변화시키고 있다. 이 책에서 제시하는 내면소통 이론과 마음근력 훈련법을 신뢰할 수 있는 이유다. 출간에 앞서 이 책을 먼저 읽은 최재천 교수는 저자의 명상을 “최첨단 뇌과학과 물리학에 기반하여 통섭적으로 구축한 명상”이라 규정했다. 흔히 생각하는 종교적이고 신비주의적인 명상이 아니라, 최신 데이터와 현대과학으로 입증된 명상이라는 것이다. 출간 즉시 종합베스트셀러에 진입한 이 책은 “건강한 나로 살아가기 위해 꼭 읽어야 할 필독서”, “3번 이상 정독할 가치가 있다” “시대의 등불 같은 책” 등 수많은 독자의 극찬 속에 43주 연속 베스트셀러 기록, 그 어느 때보다 마음근력이 약해진 우리 디지털 인류에게 건강하고 행복한 삶에 이르는 길을 안내해주고 있다. 10만 부 판매 돌파를 기념해 출간한 스페셜에디션에는 저자가 직접 프로그래밍한 명상 훈련 일지를 부록으로 담았다. 매일 10분씩 12주간 꾸준히 실천하면 내가 달라지고, 세상이 달리 보이며, 인생이 달라지는 경험을 할 수 있을 것이다.                                 ",117643865.jpg,0,0
46,메리골드 마음 세탁소,윤정은,북로망스,2023년 03월 06일,9791191891287,272,소설/시/희곡,"“마음의 얼룩을 마법처럼 지워드립니다”한국형 힐링 판타지가 쏘아 올린 역대급 입소문 베스트셀러!『메리골드 마음 세탁소』 30만 부 돌파 기념 ‘플라워 에디션’ 출간* K-문학 힐링 판타지의 결정판!* 온라인서점 선정 2023 소설 베스트셀러 1위!* 한국 소설 최초! 펭귄랜덤하우스 최고가 수출* 영미권 포함 20개국 수출 계약 진행* 2023 교육청 선정 도서, 청소년이 선정한 추천 도서윤정은 작가의 소설 『메리골드 마음 세탁소』가 독자들의 사랑에 힘입어 더욱 화사하고 몽환적인 표지로 돌아왔다. 출간 직후 베스트셀러에 오른 『메리골드 마음 세탁소』는 1년이 채 안 되어 영미권과 프랑스·이탈리아를 비롯한 유럽권, 중국·대만·인도네시아 등지의 아시아권까지 해외 판권이 수출되었다. 한국 소설 최초로 펭귄랜덤하우스 UK에 최고가 수출 계약이 체결되면서 세계적인 러브콜을 입증하기도 했다. 국내는 물론이고 전 세계에서 사랑받는 한국소설의 포문을 열면서, 이 책은 독자들에게 명실상부 가장 공감되고 아름다운 한국형 힐링 소설로 자리매김했다. 이번 『메리골드 마음 세탁소』 플라워 에디션에는 그간 독자들에게 받은 사랑에 보답하는 감사의 마음을 담았다. 100만 부 이상 판매된 컬러링북과 세계적 기업과의 컬래버레이션으로 잘 알려진 송지혜 작가가 초판본을 업그레이드한 아름다운 컬러 일러스트로 빛을 밝혀주었고, 표지에 따뜻함이 느껴지는 벨벳 코팅을 입혀 더욱 정성을 담아 독자들에게 다가간다. 연말연시의 새 출발을 응원하는 마음으로 다양한 굿즈를 함께 제작하여 풍성한 선물로도 제격이다. 우리는 가끔 시간을 되돌려 과거로 돌아가 후회됐던 일을 되돌리고 싶어 한다. 그런데 과연 그 일을 지워버리는 게 현명한 선택일까? 그리고 그 기억을 지웠을 때 지금의 내가 있을 수 있을까? 만약 그 기억만 없다면 앞으로 행복만 할 수 있을까?『메리골드 마음 세탁소』는 한밤중 언덕 위에 생겨난, 조금 수상하고도 신비로운 세탁소에서 벌어지는 일들을 그린 힐링 판타지 소설이다. 창백하게 하얀 얼굴에 젓가락처럼 마른 몸, 까맣고 구불구불 긴 머리의 미스테리한 여자는 세탁소를 찾아오는 누군가를 위해 매일같이 따뜻한 차를 끓인다. 차를 마신 이들은 어느 누구에게도 말하지 못했던 비밀스러운 이야기들을 자기도 모르게 그녀에게 털어놓는다. 아픈 날의 기억을 얼룩 지우듯 모조리 깨끗이 지워달라고 부탁한 사람들은 과연 세탁소를 나서며 행복해질 수 있을까? 『하고 싶은 대로 살아도 괜찮아』를 비롯해 약 50만 독자들에게 큰 사랑을 받아온 에세이스트 윤정은 작가가 문학상 수상 이후 11년 만에 장편소설 『메리골드 마음 세탁소』를 통해 독자와 만난다. 조용한 마을에 마법처럼 등장한 세탁소를 오가는 사람들의 갖가지 사연과, 속 깊은 대화를 통해 세탁소 주인 ‘지은’의 내면에 찾아오는 변화를 따뜻한 시선으로 그려냈다. 가난에 시달려 꿈을 포기한 어린 시절, 사랑했던 연인의 배신, 부와 명예에 홀려 놓쳐버린 삶, 학교 폭력으로 인한 상처와 방황, 자식을 위해 몸 바쳐 보낸 청춘 등 우리 각자의 삶을 닮은 이야기가 마음을 울린다. 상처를 인정하고 마음을 열어 보이는 용기와, 이웃의 아픔에 공감하고 상처를 위로하는 따뜻한 마음이 작품 전반에 진하게 녹아 있다.이 책 『메리골드 마음 세탁소』는 벼랑 끝에 몰린 것 같은 어느 날, 마음 같은 건 없었으면 좋겠다고 생각되는 그런 날에 숨어들어 상처를 털어낼 수 있는 은신처가 되어줄 것이다.                                ",117716170.jpg,0,0
47,작별하지 않는다,한강,문학동네,2021년 09월 09일,9788954682152,332,소설/시/희곡,"2023 프랑스 메디치 외국문학상 수상

무엇을 생각하면 견딜 수 있나.
가슴에 활활 일어나는 불이 없다면.
기어이 돌아가 껴안을 네가 없다면.

이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터
꿈처럼 스며오는 지극한 사랑의 기억

2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설 『작별하지 않는다』가 출간되었다. 2019년 겨울부터 이듬해 봄까지 계간 『문학동네』에 전반부를 연재하면서부터 큰 관심을 모았고, 그뒤 일 년여에 걸쳐 후반부를 집필하고 또 전체를 공들여 다듬는 지난한 과정을 거쳐 완성되었다. 본래 「눈 한 송이가 녹는 동안」(2015년 황순원문학상 수상작), 「작별」(2018년 김유정문학상 수상작)을 잇는 ‘눈’ 3부작의 마지막 작품으로 구상되었으나 그 자체 완결된 작품의 형태로 엮이게 된바, 한강 작가의 문학적 궤적에서 『작별하지 않는다』가 지니는 각별한 의미를 짚어볼 수 있다. 이로써 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017) 등 근작들을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 다다른 눈부신 현재를 또렷한 모습으로 확인할 수 있게 되었다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다.


                                                ",103495056.jpg,0,0
